menuenter_title,{loaderName} 已安装!
menuenter_desc,"{loaderName} 已成功安装！\n如要启用模组面板，请按""继续""按钮或 {1} 热键。请记住，这是模组测试版本，可能包含一些意外错误！如果你想向我们反馈错误或者提出建议，请前往我们的Discord服务器{discordUrl}\n 玩得愉快！"
menuenter_desc_offline,加载器正以离线模式运行！一些功能可能无法使用。
continue_btn,继续
close_btn,关闭
fgc_title,请继续
fgc_desc,你正处于“嗨皮秀”模式中，请使用“叠加场景”模式加载场景，或者离开嗨皮秀再重试。
fgc_ok_btn,好的
config_title,哎呀……
config_desc,配置的值出错！请确保配置无误，或配置已经更新到最新版本。\n\n错误： {0}\n\n如果你无法自行修复此错误，请删除自定义配置并使用模组提供的默认配置（您可在{loaderName}文件夹中找到它）
failedscene_title,加载此回合时遇到错误！
failedscene_desc,"此回合使用的场景 "" {0}"" 在此版本中丢失\n"
failedscene_success,模组将加载上一回合 （{0}） 。
failedscene_failed,你将回到主菜单
img2fgc_title,警告！
img2fgc_desc,在使用此工具之前，请阅读下面的文本！\n\n<b><size=27>使用教程</size></b>\n在“图像名称”中输入位于 imgToFGC 文件夹中的图像名称(包括后缀)\n宽度/高度是图像在关卡中的大小\n请记住，只有在生成关卡并打开嗨皮秀中的“载入”选项卡后，才能按“替换现有地图”按钮\n\n按下此按钮后，<b>所有现有关卡</b>都将被带有图像的地图替换，如果您在加载生成的图像关卡时保存关卡，您的原始关卡<b>将永远丢失</b>！如果您想返回原始关卡，请退出生成的地图并重新进入\n\n您也可以编辑FallGuysTools文件夹中“colors.JSON”来修改JSON生成的颜色
img2fgc_btn_ok,我已阅读此文本\n并且了解其中的风险
img2fgc_btn_close,我不想使用此工具
piracy_title,免责声明：我们严厉抵制盗版行为
piracy_desc,根据相关法律法规，盗版《糖豆人》是严重的违法行为\n请立即退出游戏并删除此模组。
piracy1_title,严重错误
piracy1_desc,在运行时《糖豆人》遇到错误，如果您选择不重启游戏并继续游玩，性能可能会受到影响。
gui_hotkeys,"快捷键：{0}光标， {1}模组面板， {2} 调试面板，{3} 自由飞行模式， {4} 重生, {5} 存档， {6} 自由相机， {7} 重置存档点"
gui_show_loader,专题加载器
