menuenter_title,{loaderName} installed!
menuenter_desc,"You have successfully installed {loaderName}!\n {loaderName} UI already should be on your screen. Keep in mind that {loaderName} was made by one person, not all things suppose to work as they should, don't forget about bugs.\nIf you have any questions or suggestions go to our discord server, you can also report about bugs that you encounted. Have fun!"
menuenter_desc_offline,"{loaderName} is running in offline mode, all online features disabled now, if you want to disable offline mode you must restart the game."
continue_btn,Continue
close_btn,Close
fgc_title,HOLD ON!
fgc_desc,"Looks like you're in Fall Guys Creative at this moment, please, load scene in additive mode or leave it and try again."
fgc_ok_btn,No problem
config_title,UH OH
config_desc,Something is wrong with config values! Are you sure that everything is correct and config updated to last version?\n\nError: {0}\n\nIf you can't fix this error by yourself delete config and use config that shipped with mod by default (you can find it in {loaderName} folder)
failedscene_title,UNABLE TO LOAD SCENE!
failedscene_desc,"Looks like scene ""{0}"" was completely wiped from game files, unfortunately you can't load it anymore...\n"
failedscene_success,Previous round ({0}) will be loaded again.
failedscene_failed,You will return to menu
img2fgc_title,Watchout!
img2fgc_desc,"Before using this tool please read text below!\n\nUsage Tutorial\nIn ""Image Name"" enter name of image that located in imgToFGC folder\nWidth/Height is a sizes of your image in round\nPress ""Replace existing maps with round"" button only after generating round and opening ""LOAD"" tab in Creative\n\nAfter pressing this button <b>ALL</b> of your existing rounds will be replaced by a map with your image, if you save your round when generated image round is loaded your original round <b>WILL BE LOST FOREVER!</b> Exit generated map if you want to back your original round\n\nYou can also edit colors generating via JSON that located in FallGuysTools folder (colors.json)"
img2fgc_btn_ok,I have read this text and know my risks
img2fgc_btn_close,I dont want use this
piracy_title,PIRACY IS NO FALLING
piracy_desc,It is a serious crime under copyright law to pirate Fall Guys\nExit the game and delete the software
piracy1_title,Critical Error
piracy1_desc,"Fall Guys has encountered an error, and performance may be affected if you continue to play without restarting the game."
gui_hotkeys,"Hotkeys: {0} toggle cursor, {1} toggle UI, {2} toggle debug ui, {3} toggle free fly mode, {4} respawn, {5} checkpoint, {6} free camera, {7} reset checkpoint pos"
gui_show_loader,Show Loader
gui_gen_cms_list,Generate CMS Rounds List
gui_print_show_list,Print Show List
gui_play,Play
gui_random_round,Random Round
gui_menu,Main Menu
gui_fix_obstacles,Re-fix Obstacles
gui_hotkey_edit,Hotkey Edit
gui_ui,UI
gui_toggle_cursor,Toggle Cursor
gui_toggle_ui,Toggle UI
gui_toggle_img2fgc,Img2Fgc UI
gui_toggle_ffm,Free Fly Mode
gui_toggle_media,Media UI
gui_gameplay,Gameplay
gui_respawn,Respawn
gui_checkpoint,Checkpoint
gui_fc,Free Camera
gui_toggle_fc,Toggle FreeCam
gui_pause_fc,Pause FreeCam
gui_move_up,Move Up
gui_move_down,Move Down
gui_move_forward,Move Forward
gui_exit,Exit
gui_show_loader_desc,"This is a show loader. You able to play in round pool of any show, random rounds will be selected only from rounds of this show"
gui_old_list,"Your round list is outdated, click here to update"
gui_update_list,Update List
gui_print_round_list,Print Rounds List (IN CONSOLE)
gui_gen_round_list,Generate CMS Rounds List
gui_cms_loader,Round Loader
gui_edit_hotkeys,Edit hotkeys
gui_single_load,Load Single
gui_additive_load,Load Additive
gui_input_wait_1,Press any key...
gui_input_wait_2,Press [ESC] to Cancel
gui_img2fgc,Import Image To FGC
gui_img2fgc_img_name,Image Name
gui_folder,Folder
gui_img2fgc_wh,Width/Height
gui_img2fgc_should_del_black,Delete black pixels?
gui_img2fgc_should_del_white,Delete white pixels?
gui_img2fgc_digital,Digital Theme?
gui_img2fgc_gen_level,Generate map
gui_img2fgc_replace,Replace existing maps with custom map
gui_img2fgc_credits,Img2fgc was made by @repinek840 on twitter
request_error_2,"SAVED, BUT..."
