menuenter_title,{loaderName} instalado!
menuenter_desc,"Has instalado correctamente {loaderName}!\n {loaderName} La interfaz de usuario ya debería estar en tu pantalla. Ten en cuenta que {loaderName} fue hecho por una sola persona, ¡y no todas las cosas se supone que funcionan! También puede haber errores.\nSi tiene alguna pregunta o sugerencia, vaya a nuestro servidor de Discord, también puede informar sobre los errores que haya encontrado. ¡Diviertete!"
menuenter_desc_offline,"{loaderName} se está ejecutando en modo offline, todas las funciones en línea están deshabilitadas ahora, si deseas deshabilitar el modo fuera de línea debes reiniciar el juego."
continue_btn,Continuar
close_btn,Cerrar
fgc_title,ESPERA!
fgc_desc,"Parece que estas en Fall Guys Modo Creativo en este momento, pporfavor, carga la escena en modo aditivo o dejalo e intenta de nuevo."
fgc_ok_btn,No hay problema
config_title,UH OH
config_desc,"Algo esta mal con los valores de configuración! Estas seguro que todo es correcto y la configuración actualizada a la ultima versión?\n\nError: {configException}\n\nSi no puedes solucionar este error tu mismo, elimina la configuración y usa la configuración que se incluye con el mod de forma predeterminada (puedes encontrarla en la carpeta FallGuysTools)"
failedscene_title,¡No se puede cargar la ESCENA!
failedscene_desc,"Parece que la escena ""{sceneName}"" fue completamente borrada de los archivos del juego, desafortunadamente no puedes cargarla...\n"
failedscene_success,La Ronda Anterior ({lastSuccessfulRound}) Se cargará nuevamente.
failedscene_failed,Regresaras al menu
img2fgc_title,Cuidado!
img2fgc_desc,"Antes de usar esta herramienta lee el texto a continuación!\n\nTutorial de Uso\nIn ""Image Name"" ingresa el nombre de la imagen que se encuentra en la carpeta ImgToFGC\nWidth/La altura es el tamaño de tu imagen en ronda.\nPresiona el botón ""Reemplazar mapas existentes con ronda"" solo después de generar la ronda y abrir la pestaña ""CARGAR"" en Creativo\n\nDespues de presionar el botón <b>TODAS</b> tus rondas existentes rounds seran reemplazadas con un mapa con tu imagen, Si guardas la ronda cuando la ronda de la imagen generada cargue tu ronda original <b>SE PERDERA PARA SIEMPRE!</b> Salir del mapa generado si quieres tu ronda original de vuelta\n\nTambien puedes editar colores generando a través de JSON que se encuentra en la carpeta FallGuysTools (colors.json)"
img2fgc_btn_ok,He leído este texto y conozco mis riesgos.
img2fgc_btn_close,No quiero usar esto
piracy_title,LA PIRATERÍA NO ES CAER
piracy_desc,Es un delito grave según la ley de derechos de autor piratear Fall Guys\nSal del juego y elimina el software.
piracy1_title,Error crítico
piracy1_desc,"Fall Guys encontró un error y el rendimiento puede verse afectado si continúas jugando sin reiniciar el juego."
gui_hotkeys,"Hotkeys: {toggleCusorHotkey} activar cursor, {toggleUIHotkey} activar interfaz de usuario, {debugUiHK} activar interfaz de usuario de depuración, {freeFlyModeHotkey} activar modo de vuelo libre, {respawnHotkey} reaparecer, {checkpointHotkey} checkpoint, {toggleFreeCamHotkey} Cámara libre, {cpResetHotkey} restablecer pos del checkpoint"
gui_show_loader,CargadorShows
gui_gen_cms_list,Generar lista de rondas de CMS
gui_print_show_list,Imprimir lista de Shows
gui_play,Jugar
gui_random_round,Ronda Aleatoria
gui_menu,Menu Principal
gui_fix_obstacles,Arreglar Obstaculos
gui_hotkey_edit,Editar Hotkey
gui_ui,Interfaz de usuario
gui_toggle_cursor,Activar Cursor
gui_toggle_ui,Activar Interfaz de usuario
gui_toggle_img2fgc,Interfaz Img2Fgc
gui_toggle_ffm,Modo de vuelo libre
gui_toggle_media,Interfaz Media
gui_gameplay,Gameplay
gui_respawn,Reaparecer
gui_checkpoint,Checkpoint
gui_fc,Free Cámara
gui_toggle_fc,Activar CámLibre
gui_pause_fc,Pausar CámLibre
gui_move_up,Moverse Arriba
gui_move_down,Moverse Abajo
gui_move_forward,Moverse Alfrente
gui_exit,Salir
gui_show_loader_desc,"Este es un cargador de Shows. Puedes jugar en el grupo de rondas de cualquier Show; las rondas aleatorias se seleccionarán solo de las rondas de este show."
gui_old_list,"Tu lista de rondas está desactualizada, Presiona aqui para actualizar"
gui_update_list,Update List
gui_print_round_list,Imprimir lista de Rondas (EN CONSOLA)
gui_gen_round_list,Generar lista de rondas de CMS
gui_cms_loader,CargadorRondas
gui_edit_hotkeys,Editar hotkeys
gui_single_load,Cargar Solo
gui_additive_load,Cargar Aditivo
gui_input_wait_1,Presiona cualquier tecla...
gui_input_wait_2,Presiona [ESC] para Cancelar
gui_img2fgc,Importar imagen A FGC
gui_img2fgc_img_name,Nombre de la Imagen
gui_folder,Carpeta
gui_img2fgc_wh,Ancho/Alto
gui_img2fgc_should_del_black,Borrar pixeles negros?
gui_img2fgc_should_del_white,Borrar pixeles blancos?
gui_img2fgc_digital,Tema Digital?
gui_img2fgc_gen_level,Generar Mapa
gui_img2fgc_replace,Reemplazar mapas existentes con mapa personalizado
gui_img2fgc_credits,Img2fgc fue hecho por @repinek840 en twitter
request_error_2,"GUARDADO, PERO..."
request_error_save_config_2,"Equipaste cosméticos que no tienes, solo recuerda, después de volver a abrir el juego, tus cosméticos se restablecerán. Para este momento todos en tu lobby podran ver tus cosméticos, tambien podras cargar cualquier ronda, tus cosmeticos seran guardados"
gui_save_into_config,Guardar en Configuración
gui_rotate_speed,Velocidad de rotacíon
gui_move_down_speed,Velocidad de Moverse Abajo
gui_move_up_speed,Velocidad de Moverse Arriba
gui_move_speed,Velocidad de Movimiento
gui_ffm_settings,Configuración Modo Vuelo libre
gui_ffm_hotkeys,"{ffmMoveUpHotkey} para moverse arriba, {ffmMoveDownHotkey} para moverse abajo, {ffmMoveHotkey} para moverse alfrente"
gui_media_load,Cargar
gui_img_loader,Cargador de Imagenes
gui_fc_settings,Configuración de Cámara Libre
gui_zoom_speed,Velocidad de Zoom
gui_sensivity,Sensibilidad
gui_stats,Estadísticas
gui_fc_pos,Pos.
gui_fov,Campo de visión
gui_fc_hotkeys,"{toggleFreeCamHotkey} para salir, {pauseFreeCamHotkey} para pausar, ScrollWheel para hacer zoom, {freecamMoveUpHotkey} para moverse arriba, {freecamMoveDownHotkey} para moverse abajo"
gui_near_fg,Cerca del FallGuy
gui_follow_fg_pos,Pegar Pos del FG.
gui_destroy_all,Destruir Todo
confirm_title,ESTAS SEGURO?
confirm_desc,Estas seguro que quieres hacer esta accion:
failed_title,ERROR
failed_desc,Se produjo un error con esta acción.\nError: {whatWasFailed}
gui_as_cube,Como Cubo
gui_url_load,Vía URL
