menuenter_title,{loaderName} がインストールされました！
menuenter_desc,"あなたのFallGuysに{loaderName}がインストールされました！\n {loaderName}のUIがすでに表示され、使用可能になっているはずです。 {loaderName}はまだ開発中であり、完全に動作するとは限りませんし、バグがあるかもしれません。\n質問や提案、バグ報告がありましたら、ぜひDiscordサーバーへどうぞ。楽しんで！"
menuenter_desc_offline,"{loaderName} は現在オフラインモードで動作しています。 オフラインモードを無効にするには、ゲームを再起動する必要があります。"
continue_btn,続ける
close_btn,閉じる
fgc_title,ちょっと待って！
fgc_desc,"あなたは今FGCでプレイしているようです。クリエ読み込みを使用するか、FGCをやめてから読み込んでください。"
fgc_ok_btn,わかった
config_title,何かがおかしい
config_desc,設定されているものがおかしくなっています！ 設定ファイルが最新バージョンに更新されていますか？\n\nエラー: {configException}\n\nこのエラーが修正できそうにない場合は、設定ファイルを削除し、このModを再インストールしてみてください。
failedscene_title,シーンのロードに失敗！
failedscene_desc," ""{sceneName}"" はゲームファイルから削除されているようです、残念ながら今は読み込めません…\n"
failedscene_success,以前のラウンド ({lastSuccessfulRound}) が再ロードされます。
failedscene_failed,メニューに戻ります
img2fgc_title,！注意！
img2fgc_desc,"このツールを使用する前に、以下の文章をお読みください。\n\n使用方法\nIn ・""画像名"" 欄に、imgToFGCフォルダにある画像の名前を入力する\n・幅/高さは、ラウンドにインポートしたときの画像の大きさです。\nPress マップを生成し、クリエイティブタブにある""ロードする""を開いてから、""既存のマップをラウンドに置き換える"" ボタンを押してください。 \n\nこのボタンを押すと、クリエイティブのどれかのラウンド（置き換えたいラウンド）を選択すると、それに置き換えられます。そこでラウンドを保存すると、元のラウンドは <b>永遠に失われます！</b> ミスなどがありも元のラウンドに戻したい場合は、ラウンドを保存せずにクリエイティブを終了し、Fall Guysを再起動することをおすすめします。\n\nFallGuysToolsフォルダにある、JSONフォルダ(colors.json)を使って色を編集することなどもできます。"
img2fgc_btn_ok,私はこの文章を読み、リスクを理解して使用します
img2fgc_btn_close,これを使わない
piracy_title,海賊版で遊ぶことはできません！
