ID,TEXT
menuenter_title,{loaderName} 설치됨!
menuenter_desc,로더 UI를 불러오려면 확인을 누르거나 or {1} 키를 누르세요. 또한 테스트 버전이므로 버그가 포함 되어 있을 수도 있습니다. 버그를 제보 하고 싶으시면 저희 디스코드 서버로 들어와 주세요. {discordUrl}\n\n
menuenter_desc_offline,로더가 오프라인 모드에서 실행중
continue_btn,확인
close_btn,닫기
fgc_title,잠시만요!
fgc_desc,지금 폴크리 모드에 있으신 것 같습니다. 장면을 불러올려면 장면 추가를 하거나 폴크리 모드를 끄고 다시 진행 해주세요.
fgc_ok_btn,확인
config_title,이런!
config_desc,구성 값에서 문제가 발생 했습니다! 구성 파일이 최신 버전으로 업데이트 되어 있고 모든게 제대로 되어 있는지 확인 하셨나요?\n\n오류: {0}\n\n만약 이 오류를 직접 고칠수가 없다면 구성 파일을 삭제 하고 기본적으로 포함되어 있는 구성 파일을 사용 해보세요. ({loaderName} 폴더에서 찾을수 있습니다.)
failedscene_title,라운드를 불러 올 수 없음!
failedscene_desc,"이 라운드에서 쓰였던 장면 ""{0}""이 사용 하고 계시는 빌드에는 존재하지 않는 것 같습니다.\n"
failedscene_success,전에 불러왔던 장면 ({0})이 다시 불러와집니다.
failedscene_failed,메인 메뉴로 이동합니다.
img2fgc_title,필독!
